v_primary_V,v_secondary_V,i_load_A,temp_oil_C,temp_winding_C,temp_ambient_C,oil_level_pct,v_ratio_dev_pct,load_pct,delta_temp_C,apparent_power_VA,fault_label,fault_name
222.3,7.68,8.072,64.76,81.82,29.76,81.5,33.782,40.36,17.06,62.0,3,Overcurrent_Short_Circuit
225.73,12.64,2.804,45.46,58.13,28.0,84.17,7.351,14.02,12.67,35.45,0,Normal
229.54,11.51,3.071,58.62,63.65,28.31,48.55,3.925,15.35,5.02,35.33,2,Low_Oil_Level
218.9,9.6,8.876,55.01,81.84,33.81,87.22,15.98,44.38,26.83,85.17,3,Overcurrent_Short_Circuit
236.78,12.01,2.883,50.39,72.01,33.28,33.74,2.82,14.41,21.63,34.61,2,Low_Oil_Level
213.97,7.57,12.353,56.97,75.82,33.5,84.94,32.152,61.76,18.84,93.57,3,Overcurrent_Short_Circuit
169.58,9.17,2.822,42.57,74.81,32.26,87.34,3.678,14.11,32.24,25.89,4,Voltage_Fault
229.16,11.54,6.35,63.13,85.62,28.97,81.29,3.494,31.75,22.49,73.27,1,Overheating
227.57,12.11,2.917,41.44,60.24,34.39,84.71,2.031,14.59,18.8,35.34,0,Normal
226.77,11.96,2.91,45.75,56.68,33.04,86.18,1.053,14.55,10.93,34.79,0,Normal
232.7,12.28,3.063,47.03,50.78,32.2,82.21,1.111,15.31,3.75,37.6,0,Normal
224.67,11.85,4.794,54.59,80.34,27.3,83.65,1.085,23.97,25.75,56.8,1,Overheating
233.34,11.92,3.023,47.7,70.41,32.03,54.26,2.075,15.11,22.71,36.04,2,Low_Oil_Level
229.71,11.96,3.23,38.05,57.37,29.41,89.29,0.175,16.15,19.32,38.64,0,Normal
232.98,11.95,2.981,54.35,71.38,29.81,33.75,1.729,14.9,17.03,35.61,2,Low_Oil_Level
234.46,12.12,3.129,45.84,68.65,31.48,39.57,0.95,15.64,22.81,37.91,2,Low_Oil_Level
220.72,8.43,7.76,60.09,70.66,32.75,82.41,26.784,38.8,10.57,65.43,3,Overcurrent_Short_Circuit
219.45,8.75,10.494,52.11,72.51,32.98,81.31,23.546,52.47,20.4,91.86,3,Overcurrent_Short_Circuit
220.89,9.52,8.131,60.88,84.17,34.4,81.35,17.431,40.66,23.29,77.38,3,Overcurrent_Short_Circuit
199.05,9.29,3.145,40.26,63.41,32.79,81.61,10.501,15.72,23.15,29.23,4,Voltage_Fault
226.76,11.71,5.265,65.2,86.83,33.22,80.88,1.051,26.33,21.64,61.64,1,Overheating
223.65,9.12,10.295,55.53,91.44,35.1,86.02,21.85,51.48,35.91,93.88,3,Overcurrent_Short_Circuit
231.2,12.08,5.244,66.55,98.39,33.51,85.9,0.13,26.22,31.84,63.33,1,Overheating
229.71,11.52,2.905,44.47,56.54,28.49,90.0,3.884,14.53,12.07,33.47,0,Normal
230.18,11.91,3.128,43.09,63.62,29.99,90.45,0.815,15.64,20.53,37.26,0,Normal
250.0,13.33,3.15,37.85,55.16,31.4,87.03,3.996,15.75,17.3,41.97,4,Voltage_Fault
221.94,6.94,8.927,58.91,77.45,30.05,80.93,40.026,44.64,18.54,62.0,3,Overcurrent_Short_Circuit
180.47,10.83,3.151,42.15,51.19,27.65,89.83,15.035,15.76,9.05,34.13,4,Voltage_Fault
228.41,11.64,3.102,40.64,55.43,31.18,86.59,2.314,15.51,14.79,36.12,0,Normal
231.42,12.68,2.952,42.33,53.09,39.3,82.25,4.982,14.76,10.76,37.42,0,Normal
228.74,12.31,5.15,67.53,76.83,35.18,83.37,3.132,25.75,9.3,63.39,1,Overheating
229.43,12.36,2.958,41.86,59.31,30.37,88.55,3.277,14.79,17.45,36.57,0,Normal
250.0,13.13,3.181,46.44,61.58,31.86,82.98,3.832,15.91,15.14,41.77,4,Voltage_Fault
226.3,12.32,3.134,54.01,65.36,35.51,36.41,4.329,15.67,11.35,38.61,2,Low_Oil_Level
220.77,10.81,11.725,56.02,83.18,31.41,87.3,6.179,58.63,27.16,126.71,3,Overcurrent_Short_Circuit
232.88,11.52,3.075,47.42,55.54,31.83,88.82,5.22,15.38,8.12,35.41,0,Normal
224.04,12.26,2.932,41.25,53.78,35.7,89.01,4.844,14.66,12.52,35.94,0,Normal
226.54,12.0,4.534,56.14,97.53,33.51,84.45,1.548,22.67,41.39,54.42,1,Overheating
229.88,12.24,5.631,61.73,83.35,27.94,87.0,2.051,28.15,21.62,68.92,1,Overheating
230.73,12.27,2.836,49.25,68.21,25.94,55.12,1.915,14.18,18.96,34.79,2,Low_Oil_Level
193.02,9.8,3.085,40.34,63.63,33.51,82.31,2.659,15.42,23.29,30.24,4,Voltage_Fault
229.34,12.18,3.133,37.99,50.37,31.95,87.43,1.765,15.67,12.38,38.15,0,Normal
235.3,12.07,2.972,42.69,56.97,34.05,79.92,1.68,14.86,14.28,35.87,0,Normal
235.64,12.15,2.932,46.58,46.23,30.01,87.56,1.183,14.66,-0.35,35.62,0,Normal
230.9,12.12,5.905,67.29,93.4,28.71,84.91,0.575,29.53,26.11,71.55,1,Overheating
173.46,9.59,3.107,40.95,64.61,29.07,77.86,5.991,15.54,23.67,29.81,4,Voltage_Fault
230.05,12.04,6.805,53.19,103.14,33.22,78.26,0.348,34.02,49.95,81.96,1,Overheating
228.87,12.62,6.4,60.41,82.18,34.15,76.72,5.648,32.0,21.76,80.74,1,Overheating
228.57,11.68,6.543,56.87,88.75,33.47,79.73,2.017,32.72,31.88,76.46,1,Overheating
250.0,13.6,3.152,41.47,71.45,34.82,86.75,0.059,15.76,29.98,42.87,4,Voltage_Fault
228.13,12.02,3.007,42.97,55.01,32.05,80.3,0.998,15.03,12.04,36.14,0,Normal
230.25,11.86,2.829,56.43,62.75,35.47,53.2,1.276,14.15,6.31,33.55,2,Low_Oil_Level
215.34,9.23,9.737,58.84,74.18,30.23,84.07,17.843,48.69,15.34,89.88,3,Overcurrent_Short_Circuit
226.62,12.12,3.107,56.51,72.22,29.7,42.98,2.526,15.53,15.7,37.66,2,Low_Oil_Level
231.39,11.92,3.118,54.98,73.41,29.23,45.68,1.284,15.59,18.43,37.16,2,Low_Oil_Level
227.62,11.89,3.016,42.04,47.63,31.75,84.35,0.087,15.08,5.59,35.85,0,Normal
229.59,12.17,2.851,42.1,68.6,32.43,32.12,1.6,14.26,26.5,34.7,2,Low_Oil_Level
230.63,11.88,5.328,62.26,72.83,32.74,79.2,1.234,26.64,10.57,63.32,1,Overheating
229.92,11.91,4.527,60.85,72.74,35.99,76.73,0.685,22.63,11.89,53.93,1,Overheating
250.0,13.46,2.566,42.49,64.4,29.75,86.42,0.782,12.83,21.91,34.55,4,Voltage_Fault
226.57,12.41,3.073,43.31,57.28,34.31,83.93,4.975,15.37,13.97,38.14,0,Normal
231.96,11.48,2.837,47.36,62.06,29.09,38.78,5.137,14.18,14.69,32.57,2,Low_Oil_Level
250.0,13.67,2.999,46.76,61.25,30.68,83.81,2.36,15.0,14.49,41.01,4,Voltage_Fault
228.48,12.31,2.92,49.48,70.22,34.52,54.94,3.247,14.6,20.74,35.94,2,Low_Oil_Level
250.0,13.14,2.719,42.95,65.65,37.28,88.54,4.472,13.6,22.71,35.73,4,Voltage_Fault
232.74,11.87,2.995,49.91,70.93,34.93,33.43,2.208,14.97,21.02,35.56,2,Low_Oil_Level
222.09,8.33,10.862,58.7,95.33,29.95,80.98,28.124,54.31,36.62,90.46,3,Overcurrent_Short_Circuit
164.33,8.34,3.03,39.93,62.96,37.85,87.22,2.73,15.15,23.03,25.27,4,Voltage_Fault
223.23,9.9,11.428,48.43,91.49,26.02,82.99,14.965,57.14,43.07,113.18,3,Overcurrent_Short_Circuit
228.47,12.4,6.157,65.09,90.33,32.58,77.63,4.014,30.79,25.25,76.34,1,Overheating
235.92,11.94,4.48,58.3,82.78,32.15,84.0,3.01,22.4,24.48,53.48,1,Overheating
220.51,9.02,11.427,57.95,91.59,29.61,85.75,21.608,57.13,33.65,103.06,3,Overcurrent_Short_Circuit
250.0,12.95,3.011,38.11,65.27,29.39,84.03,5.04,15.05,27.16,38.99,4,Voltage_Fault
191.53,8.24,2.926,42.73,57.6,38.75,87.48,17.541,14.63,14.87,24.11,4,Voltage_Fault
217.2,8.59,9.748,56.83,94.94,32.54,87.72,24.235,48.74,38.11,83.69,3,Overcurrent_Short_Circuit
229.73,12.17,3.183,40.18,52.38,35.42,85.59,1.508,15.92,12.2,38.73,0,Normal
238.16,11.67,3.001,43.55,53.63,32.04,87.63,6.091,15.01,10.08,35.02,0,Normal
224.26,8.86,9.107,52.56,82.1,29.34,82.55,24.236,45.54,29.54,80.73,3,Overcurrent_Short_Circuit
215.68,9.21,10.291,58.34,77.67,33.09,81.69,18.113,51.46,19.34,94.83,3,Overcurrent_Short_Circuit
190.51,9.96,3.087,43.07,58.89,31.45,86.27,0.179,15.44,15.82,30.74,4,Voltage_Fault
219.04,9.0,9.457,63.71,69.05,26.84,87.37,21.221,47.29,5.34,85.14,3,Overcurrent_Short_Circuit
250.0,14.06,3.081,45.28,68.43,32.31,87.41,0.945,15.4,23.16,43.32,4,Voltage_Fault
212.24,9.16,10.238,59.77,95.97,29.2,85.5,17.297,51.19,36.2,93.76,3,Overcurrent_Short_Circuit
233.63,11.66,3.112,53.13,69.48,33.32,29.63,4.379,15.56,16.35,36.27,2,Low_Oil_Level
218.68,7.28,8.922,51.48,76.48,33.5,88.84,36.171,44.61,25.0,64.98,3,Overcurrent_Short_Circuit
228.25,11.78,3.011,54.45,77.51,34.18,33.96,1.059,15.06,23.07,35.48,2,Low_Oil_Level
232.99,12.19,2.859,52.29,63.16,27.91,27.79,0.289,14.3,10.86,34.86,2,Low_Oil_Level
229.26,11.85,5.965,57.06,87.71,31.57,81.24,0.955,29.83,30.65,70.67,1,Overheating
218.0,8.08,8.358,58.0,75.62,32.6,83.01,28.922,41.79,17.61,67.57,3,Overcurrent_Short_Circuit
181.68,8.73,3.304,38.94,62.2,30.54,82.75,7.865,16.52,23.27,28.85,4,Voltage_Fault
250.0,14.09,2.799,45.96,61.88,29.8,87.28,3.487,13.99,15.92,39.43,4,Voltage_Fault
236.16,12.09,5.454,66.88,94.66,36.1,84.32,1.889,27.27,27.78,65.93,1,Overheating
228.59,12.31,3.099,45.25,53.05,30.16,88.42,3.256,15.49,7.8,38.16,0,Normal
232.83,12.39,3.185,45.89,68.3,33.09,48.09,2.037,15.92,22.41,39.48,2,Low_Oil_Level
234.04,11.74,3.045,46.26,68.98,32.54,52.59,3.883,15.22,22.72,35.74,2,Low_Oil_Level
207.41,9.6,8.376,56.34,89.41,29.21,83.0,11.262,41.88,33.07,80.43,3,Overcurrent_Short_Circuit
230.78,11.95,2.967,43.3,48.92,34.27,86.77,0.769,14.83,5.63,35.44,0,Normal
230.81,12.29,2.929,46.06,82.05,31.37,38.99,2.099,14.65,35.99,36.02,2,Low_Oil_Level
215.34,7.69,9.858,50.12,71.95,33.63,86.37,31.558,49.29,21.83,75.8,3,Overcurrent_Short_Circuit
232.02,11.44,2.773,39.87,55.3,29.01,83.3,5.536,13.86,15.43,31.7,0,Normal
230.58,11.95,5.269,60.66,74.45,34.93,75.33,0.706,26.34,13.79,62.94,1,Overheating
231.04,11.35,3.249,40.89,59.51,29.87,82.35,5.809,16.25,18.62,36.89,0,Normal
218.91,9.39,7.663,60.48,86.49,32.83,81.7,17.809,38.32,26.0,71.94,3,Overcurrent_Short_Circuit
233.15,11.87,5.301,64.86,85.41,34.71,80.87,2.396,26.5,20.55,62.94,1,Overheating
227.46,12.44,6.586,53.25,78.65,29.09,79.31,4.794,32.93,25.4,81.9,1,Overheating
212.1,7.19,9.508,52.34,92.85,26.87,84.18,35.008,47.54,40.52,68.39,3,Overcurrent_Short_Circuit
231.18,12.23,2.799,58.24,73.83,33.57,38.37,1.417,14.0,15.59,34.24,2,Low_Oil_Level
219.22,8.92,9.244,56.93,73.91,28.61,81.38,21.971,46.22,16.99,82.5,3,Overcurrent_Short_Circuit
235.17,11.99,5.161,67.96,84.14,31.2,76.56,2.271,25.81,16.18,61.89,1,Overheating
227.82,12.46,3.153,52.43,68.11,29.28,43.08,4.827,15.77,15.68,39.29,2,Low_Oil_Level
216.71,7.53,9.502,58.38,85.84,33.91,79.08,33.407,47.51,27.46,71.54,3,Overcurrent_Short_Circuit
225.45,11.96,2.882,42.16,60.18,31.07,85.39,1.674,14.41,18.02,34.47,0,Normal
226.5,9.71,8.745,61.33,86.98,33.56,86.17,17.814,43.72,25.65,84.93,3,Overcurrent_Short_Circuit
181.45,8.32,2.748,41.51,56.72,38.52,78.82,12.11,13.74,15.21,22.86,4,Voltage_Fault
221.31,8.13,9.469,51.59,92.51,33.94,89.87,29.595,47.34,40.91,76.97,3,Overcurrent_Short_Circuit
228.84,11.91,3.069,43.66,56.46,32.2,85.17,0.272,15.35,12.79,36.55,0,Normal
229.58,12.46,6.553,60.82,77.25,35.76,78.56,3.991,32.77,16.43,81.63,1,Overheating
178.58,9.81,3.002,42.14,64.07,30.91,83.36,5.33,15.01,21.93,29.46,4,Voltage_Fault
230.84,11.7,2.887,52.04,67.9,29.84,40.72,2.839,14.44,15.86,33.78,2,Low_Oil_Level
230.86,12.55,5.92,52.85,103.11,32.98,77.6,4.213,29.6,50.25,74.31,1,Overheating
225.75,12.3,3.056,39.88,49.0,34.57,83.24,4.423,15.28,9.12,37.59,0,Normal
228.15,11.92,3.018,56.66,74.15,32.96,33.63,0.118,15.09,17.49,35.97,2,Low_Oil_Level
217.33,8.61,10.065,56.05,75.26,30.23,85.98,24.034,50.33,19.21,86.7,3,Overcurrent_Short_Circuit
212.59,7.35,7.229,57.96,82.12,29.13,86.98,33.757,36.15,24.17,53.12,3,Overcurrent_Short_Circuit
214.99,8.79,8.216,57.46,77.65,31.81,82.8,21.626,41.08,20.19,72.23,3,Overcurrent_Short_Circuit
231.92,12.04,3.071,46.49,55.67,35.23,86.74,0.477,15.36,9.18,36.98,0,Normal
233.51,12.1,6.742,51.82,89.63,32.92,85.21,0.67,33.71,37.81,81.59,1,Overheating
226.61,11.99,2.955,40.82,52.69,31.15,85.8,1.433,14.77,11.87,35.43,0,Normal
209.17,8.42,9.903,52.59,83.64,32.27,89.54,22.828,49.52,31.05,83.41,3,Overcurrent_Short_Circuit
226.51,7.22,10.145,65.57,76.12,33.39,83.77,38.916,50.73,10.55,73.24,3,Overcurrent_Short_Circuit
245.89,13.63,3.108,43.64,63.02,30.91,87.18,6.245,15.54,19.38,42.36,4,Voltage_Fault
230.24,12.25,2.941,48.07,69.56,30.07,52.85,1.938,14.71,21.49,36.02,2,Low_Oil_Level
238.13,12.35,6.657,63.12,86.69,35.36,84.21,0.63,33.28,23.57,82.18,1,Overheating
229.15,12.01,2.945,43.44,50.8,35.41,83.69,0.416,14.73,7.35,35.36,0,Normal
228.82,12.11,2.917,46.57,75.59,33.9,49.45,1.446,14.58,29.02,35.33,2,Low_Oil_Level
222.31,9.46,9.133,58.0,69.04,37.16,83.08,18.467,45.67,11.04,86.37,3,Overcurrent_Short_Circuit
250.0,13.11,3.195,38.39,59.71,32.41,85.41,7.44,15.97,21.31,41.89,4,Voltage_Fault
210.66,7.7,9.53,53.57,66.49,30.76,84.98,29.913,47.65,12.92,73.41,3,Overcurrent_Short_Circuit
233.45,11.93,3.038,42.68,51.02,32.27,78.63,2.083,15.19,8.35,36.23,0,Normal
228.74,12.2,2.8,46.33,64.04,33.18,53.54,2.219,14.0,17.71,34.15,2,Low_Oil_Level
250.0,13.62,2.97,39.18,64.38,29.71,87.37,3.069,14.85,25.2,40.44,4,Voltage_Fault
214.15,6.9,10.855,50.82,80.79,35.81,83.02,38.263,54.27,29.96,74.87,3,Overcurrent_Short_Circuit
235.17,12.16,2.621,48.45,62.03,32.78,39.95,0.924,13.11,13.58,31.86,2,Low_Oil_Level
227.56,12.43,2.767,46.21,66.97,28.68,33.03,4.726,13.83,20.76,34.4,2,Low_Oil_Level
214.92,8.45,8.064,51.32,83.94,33.07,84.64,24.613,40.32,32.62,68.17,3,Overcurrent_Short_Circuit
218.36,9.55,12.161,60.33,80.11,33.1,87.51,16.143,60.81,19.78,116.18,3,Overcurrent_Short_Circuit
230.66,12.67,3.054,42.66,60.3,31.78,89.02,5.277,15.27,17.65,38.69,0,Normal
208.54,9.33,9.321,63.47,91.17,34.14,92.98,14.234,46.6,27.7,86.98,3,Overcurrent_Short_Circuit
231.72,11.78,2.977,43.08,51.61,29.07,86.2,2.59,14.88,8.53,35.06,0,Normal
218.14,8.29,10.353,61.25,81.43,31.12,87.1,27.189,51.77,20.18,85.79,3,Overcurrent_Short_Circuit
229.46,11.95,3.026,51.58,69.77,31.73,50.33,0.192,15.13,18.2,36.16,2,Low_Oil_Level
197.62,8.64,2.749,45.66,65.88,32.02,87.81,16.235,13.75,20.23,23.75,4,Voltage_Fault
229.2,12.02,3.139,50.76,64.82,30.97,33.91,0.544,15.69,14.06,37.74,2,Low_Oil_Level
196.83,7.27,3.041,42.82,65.55,32.44,85.45,29.25,15.2,22.72,22.09,4,Voltage_Fault
226.83,12.19,3.076,39.05,43.64,33.35,82.33,3.04,15.38,4.59,37.51,0,Normal
219.34,9.58,8.763,64.64,83.65,29.61,86.75,16.317,43.81,19.01,83.92,3,Overcurrent_Short_Circuit
236.15,11.28,6.775,58.7,101.89,30.51,81.28,8.41,33.87,43.19,76.45,1,Overheating
236.13,11.93,5.592,66.56,98.4,30.86,76.55,3.135,27.96,31.84,66.74,1,Overheating
224.89,11.91,2.868,42.44,56.89,31.52,82.96,1.496,14.34,14.46,34.16,0,Normal
197.52,8.23,3.08,46.65,58.13,32.83,85.34,20.166,15.4,11.48,25.34,4,Voltage_Fault
214.85,8.36,9.632,57.0,83.7,29.9,84.21,25.386,48.16,26.7,80.56,3,Overcurrent_Short_Circuit
227.59,11.76,5.517,55.93,92.52,30.79,84.0,0.938,27.59,36.59,64.9,1,Overheating
214.45,8.67,8.643,55.57,86.59,30.23,81.07,22.557,43.21,31.02,74.89,3,Overcurrent_Short_Circuit
230.5,12.42,3.339,52.12,60.52,30.19,41.22,3.304,16.69,8.4,41.48,2,Low_Oil_Level
230.58,12.32,2.993,46.8,69.59,29.97,45.86,2.45,14.96,22.79,36.88,2,Low_Oil_Level
230.92,11.91,3.21,39.16,55.51,33.9,81.6,1.122,16.05,16.34,38.24,0,Normal
229.19,11.75,2.932,56.79,77.88,32.63,54.16,1.716,14.66,21.09,34.46,2,Low_Oil_Level
226.68,11.89,3.155,39.52,57.49,34.82,86.01,0.569,15.77,17.97,37.52,0,Normal
214.6,8.07,10.036,56.22,96.26,27.67,81.79,27.883,50.18,40.03,81.03,3,Overcurrent_Short_Circuit
235.46,12.43,5.598,63.1,81.2,30.23,79.08,1.167,27.99,18.1,69.57,1,Overheating
200.61,9.33,2.924,42.23,58.86,31.54,82.89,10.881,14.62,16.63,27.28,4,Voltage_Fault
227.81,11.83,2.897,40.75,48.72,36.52,85.87,0.445,14.49,7.97,34.28,0,Normal
230.29,7.43,9.237,49.38,75.76,32.32,89.48,38.167,46.18,26.38,68.62,3,Overcurrent_Short_Circuit
213.38,9.11,8.663,53.86,66.27,37.89,83.23,18.134,43.31,12.41,78.95,3,Overcurrent_Short_Circuit
233.48,11.86,2.963,44.52,55.97,27.63,82.89,2.659,14.82,11.45,35.14,0,Normal
227.55,12.35,3.083,43.28,63.44,34.42,31.28,4.013,15.41,20.16,38.07,2,Low_Oil_Level
250.0,13.5,3.122,43.52,69.2,34.62,86.54,4.371,15.61,25.68,42.15,4,Voltage_Fault
225.71,12.34,3.041,45.87,60.81,30.52,87.48,4.79,15.2,14.94,37.52,0,Normal
228.72,12.31,3.047,44.23,58.35,32.75,82.71,3.149,15.23,14.12,37.5,0,Normal
250.0,12.87,2.775,43.52,54.45,31.62,82.05,6.647,13.87,10.93,35.72,4,Voltage_Fault
250.0,12.82,3.18,42.44,65.99,31.53,82.93,6.171,15.9,23.55,40.77,4,Voltage_Fault
229.65,11.6,4.928,62.33,81.23,34.06,77.51,3.161,24.64,18.9,57.18,1,Overheating
232.23,11.82,6.087,55.96,87.29,30.32,82.54,2.462,30.43,31.33,71.93,1,Overheating
229.62,11.96,3.059,47.9,66.76,31.63,37.27,0.174,15.29,18.85,36.58,2,Low_Oil_Level
227.27,12.03,6.278,63.6,80.57,32.43,77.53,1.439,31.39,16.98,75.51,1,Overheating
230.32,12.36,4.849,67.29,69.86,33.0,79.38,2.814,24.24,2.57,59.91,1,Overheating
250.0,13.55,3.138,38.73,69.36,35.42,84.97,3.312,15.69,30.63,42.51,4,Voltage_Fault
246.47,13.48,3.069,39.85,57.61,28.47,85.34,4.816,15.35,17.76,41.37,4,Voltage_Fault
250.0,13.61,2.986,41.05,74.17,32.98,80.59,3.579,14.93,33.12,40.64,4,Voltage_Fault
